140214220500,23.74,303.88,34.70,61.30,22.70
140214221000,23.48,315.41,32.55,61.50,23.33
140214221500,22.33,314.36,33.42,61.18,23.70
140214222000,22.61,338.16,33.71,60.18,22.99
140214222500,23.67,311.90,36.69,60.96,22.41
140214223000,22.62,312.57,31.26,60.85,22.36
140214223500,22.92,333.81,31.34,60.19,23.94
140214224000,22.11,335.60,36.33,60.06,23.67
140214224500,22.03,335.10,32.01,60.19,22.98
140214225000,23.58,320.07,30.70,61.55,22.01
140214225500,22.61,304.29,34.77,60.28,23.47
140214230000,22.94,339.01,36.76,61.23,22.71
140214230500,23.13,323.56,33.75,56.46,22.87
140214231000,23.80,318.87,33.67,55.71,22.99
140214231500,22.12,309.24,30.63,55.23,22.88
140214232000,23.13,319.96,28.15,55.33,23.05
140214232500,23.07,308.66,32.40,55.17,23.14
140214233000,22.25,318.85,33.37,56.64,23.06
140214233500,22.45,327.07,35.64,55.97,22.84
140214234000,23.53,312.04,36.13,55.01,22.91
140214234500,23.32,303.44,31.76,56.15,22.98
140214235000,23.61,316.23,30.80,56.18,23.02
140214235500,22.55,321.08,36.53,55.24,23.17
140215000000,22.42,335.05,32.78,55.23,22.98
140215000500,22.57,318.75,28.97,55.66,22.90
140215001000,22.75,330.79,36.03,55.81,22.89
140215001500,22.61,311.64,30.98,55.57,23.13
140215002000,22.74,300.31,31.33,56.58,23.10
140215002500,23.65,339.49,33.28,55.76,23.09
140215003000,22.63,331.08,33.68,55.16,22.85
140215003500,23.80,312.30,29.37,55.67,23.05
140215004000,23.81,331.00,34.20,55.66,23.11
140215004500,22.82,319.20,34.19,56.92,23.02
140215005000,23.35,301.05,32.88,56.05,22.97
140215005500,22.72,326.28,33.18,56.43,23.11
140215010000,22.59,323.96,34.74,55.02,22.86
140215010500,23.93,309.12,32.67,55.70,23.17
140215011000,22.91,321.36,31.38,56.20,22.94
140215011500,23.46,322.63,28.96,56.76,22.90
140215012000,22.48,330.74,32.24,56.12,23.16
140215012500,22.05,318.87,32.52,56.77,23.14
140215013000,22.95,304.47,29.93,55.93,23.08
140215013500,23.42,319.90,31.00,56.61,23.20
140215014000,22.72,317.30,30.87,55.31,23.08
140215014500,22.92,305.13,30.44,56.49,23.16
140215015000,22.21,301.41,32.89,56.16,23.09
140215015500,22.46,336.62,36.49,55.91,22.97
140215020000,22.23,335.66,33.62,55.34,23.17
140215020500,23.09,331.92,32.64,56.11,23.12
140215021000,22.27,321.62,31.96,55.81,23.17
140215021500,23.06,302.17,32.46,56.49,22.97
140215022000,22.52,334.23,35.04,56.63,22.89
140215022500,22.04,336.04,36.89,55.79,22.85
140215023000,22.21,339.36,32.79,56.75,22.97
140215023500,22.62,338.47,36.49,56.48,23.19
140215024000,23.63,324.28,34.83,55.95,22.93
140215024500,23.90,323.11,29.51,55.90,22.84
140215025000,23.69,301.02,34.87,56.79,23.09
140215025500,22.76,301.37,33.94,56.80,23.01
140215030000,23.57,334.71,36.66,55.92,23.06
140215030500,23.40,314.01,34.50,55.84,23.16
140215031000,22.20,301.79,31.06,55.86,22.85
140215031500,23.77,337.95,30.43,56.31,23.08
140215032000,22.91,336.32,28.21,55.19,22.92
140215032500,23.44,335.06,35.14,55.76,22.91
140215033000,22.70,325.90,29.03,56.10,22.93
140215033500,23.05,306.99,32.92,56.28,22.90
140215034000,23.83,312.25,36.02,56.45,22.99
140215034500,23.91,322.52,28.61,56.44,22.84
140215035000,22.76,308.87,32.24,55.80,22.95
140215035500,22.26,300.90,35.85,56.56,23.14
140215040000,22.83,304.05,32.48,56.30,23.01
140215040500,23.98,317.88,33.62,56.36,23.09
140215041000,23.42,324.65,36.13,56.30,23.13
140215041500,23.79,315.94,32.11,56.25,23.01
140215042000,22.01,337.63,29.06,55.74,23.18
140215042500,23.21,303.93,32.28,55.31,23.00
140215043000,23.68,308.62,31.80,55.57,22.99
140215043500,23.19,336.80,35.73,55.03,23.10
140215044000,23.54,318.47,32.84,56.34,23.12
140215044500,23.65,309.95,36.82,56.11,22.85
140215045000,23.98,323.12,36.97,56.02,23.16
140215045500,22.28,320.27,30.83,55.30,22.98
140215050000,22.60,303.78,36.60,55.77,22.84
140215050500,22.76,339.82,31.04,56.10,22.93
140215051000,23.95,327.47,31.19,55.97,22.90
140215051500,23.76,305.60,35.43,55.10,22.90
140215052000,23.83,310.20,36.95,56.50,22.85
140215052500,22.55,326.57,35.87,56.54,23.12
140215053000,22.07,301.51,34.80,56.53,23.04
140215053500,22.52,350.72,36.40,55.19,22.98
140215054000,22.67,335.18,34.31,55.71,22.82
140215054500,23.89,328.48,28.67,56.69,23.12
140215055000,22.92,357.36,30.18,56.59,22.89
140215055500,22.20,343.28,35.10,55.45,22.95
140215060000,22.17,338.46,34.78,56.81,23.07
140215060500,23.68,359.79,28.81,55.30,22.92
140215061000,22.23,357.23,32.72,55.58,23.06
140215061500,22.46,354.38,35.53,55.39,23.16
140215062000,23.77,328.51,30.11,56.69,22.92
140215062500,23.34,335.94,32.14,56.97,23.07
140215063000,22.82,356.16,33.78,55.23,22.93
140215063500,22.04,340.73,30.53,60.21,23.56
140215064000,22.28,377.00,32.46,60.68,23.71
140215064500,22.22,346.17,29.67,60.98,23.01
140215065000,23.07,351.78,30.07,60.03,23.81
140215065500,23.21,365.83,33.73,60.02,23.75
140215070000,22.19,378.92,35.22,60.42,22.89
140215070500,22.67,378.85,35.08,60.61,22.25
140215071000,22.33,362.52,34.07,60.19,22.19
140215071500,22.85,357.02,34.99,60.21,23.55
140215072000,22.92,372.09,32.36,60.98,23.09
140215072500,23.43,349.10,36.62,60.21,23.55
140215073000,23.36,344.88,31.94,60.57,22.70
140215073500,22.13,416.02,30.37,61.41,23.10
140215074000,22.21,436.43,34.41,61.89,22.84
140215074500,23.53,429.38,34.52,61.14,22.01
140215075000,23.09,407.83,31.53,61.18,23.42
140215075500,23.35,424.35,34.30,60.97,23.97
140215080000,22.76,420.34,35.10,61.33,22.18
