140214220005	18	35	57	66	83
140214220010	16	29	52	66	95
140214220015	18	39	50	67	82
140214220020	21	32	46	60	86
140214220025	17	29	47	68	91
140214220030	20	27	43	62	90
140214220035	24	38	42	62	89
140214220040	17	31	56	73	87
140214220045	19	39	41	73	89
140214220050	15	35	44	78	97
140214220055	21	20	51	66	93
140214220100	16	36	50	62	93
140214220105	21	27	44	65	85
140214220110	22	33	49	66	85
140214220115	19	25	42	75	84
140214220120	15	23	44	74	87
140214220125	23	38	56	68	87
140214220130	24	34	51	63	84
140214220135	24	28	56	60	92
140214220140	24	34	46	66	92
140214220145	22	38	54	70	95
140214220150	17	37	42	77	81
140214220155	21	20	41	76	92
140214220200	24	24	49	65	81
140214220205	22	37	51	69	80
140214220210	22	29	55	61	91
140214220215	21	33	57	76	87
140214220220	19	39	43	66	85
140214220225	18	29	52	71	88
140214220230	20	28	48	70	99
140214220235	23	23	56	69	80
140214220240	20	21	51	66	85
140214220245	16	28	44	68	99
140214220250	19	34	40	73	90
140214220255	18	36	47	74	84
140214220300	21	39	45	67	91
140214220305	20	28	57	71	92
140214220310	20	38	41	74	87
140214220315	23	33	55	77	89
140214220320	24	28	51	63	88
140214220325	18	23	43	64	96
140214220330	23	24	40	66	98
140214220335	22	37	49	68	88
140214220340	18	30	43	64	96
140214220345	19	25	52	79	90
140214220350	21	34	59	65	90
140214220355	22	24	42	62	89
140214220400	16	28	44	75	87
140214220405	21	23	59	68	82
140214220410	15	31	42	60	88
140214220415	23	30	41	61	85
140214220420	21	24	56	60	85
140214220425	17	36	48	65	82
140214220430	19	22	57	64	98
140214220435	24	39	52	76	80
140214220440	16	33	51	68	90
140214220445	15	34	53	70	81
140214220450	21	39	41	79	83
140214220455	15	28	53	73	99
140214220500	15	24	46	66	95
140214220505	21	22	56	64	90
140214220510	23	39	56	65	87
140214220515	24	32	48	72	87
140214220520	22	22	50	76	89
140214220525	16	32	53	61	86
140214220530	19	21	59	79	95
140214220535	20	27	40	71	99
140214220540	23	24	50	67	88
140214220545	21	29	42	64	80
140214220550	17	32	44	70	81
140214220555	17	25	45	70	92
140214220600	18	38	42	60	99
140214220605	24	30	44	70	98
140214220610	20	32	56	79	81
140214220615	18	29	59	64	94
140214220620	17	20	55	70	96
140214220625	16	25	53	64	99
140214220630	19	21	53	64	87
140214220635	17	22	44	79	86
140214220640	23	22	41	64	86
140214220645	23	28	52	69	88
140214220650	23	33	48	76	98
140214220655	15	28	53	73	83
140214220700	24	28	46	67	94
140214220705	24	37	48	66	80
140214220710	22	23	53	63	90
140214220715	17	25	46	72	93
140214220720	24	37	48	75	96
140214220725	15	21	54	60	96
140214220730	23	30	47	68	84
140214220735	24	37	54	62	96
140214220740	18	28	42	79	83
140214220745	24	38	47	61	80
140214220750	17	39	54	75	91
140214220755	24	29	44	67	95
140214220800	20	23	49	65	84
140214220805	24	31	58	60	97
140214220810	20	32	48	67	89
140214220815	17	30	49	64	83
140214220820	17	26	49	61	80
140214220825	18	37	40	62	81
140214220830	20	30	49	61	81
140214220835	15	34	57	67	96
140214220840	23	34	57	64	86
140214220845	15	26	52	78	85
140214220850	17	36	54	66	86
140214220855	22	30	46	69	98
140214220900	18	31	40	71	90
140214220905	19	26	52	67	97
140214220910	24	32	50	72	95
140214220915	20	34	49	69	90
140214220920	23	27	53	60	81
140214220925	21	24	50	66	98
140214220930	22	29	40	66	97
140214220935	20	38	57	79	85
140214220940	22	33	58	73	83
140214220945	22	38	47	63	89
140214220950	24	20	49	71	94
140214220955	19	28	45	78	98
140214221000	23	33	41	77	93
140214221005	24	39	57	79	90
140214221010	22	33	54	62	83
140214221015	17	30	42	62	91
140214221020	22	21	55	77	91
140214221025	16	31	47	71	94
140214221030	15	34	40	77	81
140214221035	21	36	41	65	98
140214221040	19	36	59	71	82
140214221045	15	21	58	60	98
140214221050	20	37	59	72	82
140214221055	22	23	56	64	96
140214221100	16	39	44	77	99
140214221105	23	20	56	70	87
140214221110	16	24	49	63	85
140214221115	20	35	51	74	85
140214221120	23	33	48	69	94
140214221125	22	22	42	62	85
140214221130	18	26	54	73	90
140214221135	19	34	43	73	86
140214221140	20	22	57	79	93
140214221145	19	32	50	79	88
140214221150	16	37	55	66	97
140214221155	20	28	53	63	93
140214221200	21	37	58	70	91
140214221205	15	38	50	75	83
140214221210	20	33	41	71	84
140214221215	20	31	44	73	89
140214221220	21	25	43	68	90
140214221225	22	20	49	79	95
140214221230	16	36	57	63	86
140214221235	15	35	56	60	85
140214221240	21	32	42	71	98
140214221245	17	24	50	61	99
140214221250	17	23	40	74	87
140214221255	15	27	43	70	98
140214221300	17	39	54	73	90
140214221305	17	35	42	64	87
140214221310	21	38	43	74	84
140214221315	17	22	59	78	80
140214221320	19	23	48	61	83
140214221325	16	35	54	62	92
140214221330	21	31	47	65	97
140214221335	18	23	41	78	89
140214221340	21	28	59	67	93
140214221345	19	28	44	60	97
140214221350	20	38	56	71	98
140214221355	21	39	49	71	92
140214221400	24	29	44	76	90
140214221405	16	33	49	78	80
140214221410	22	26	49	78	94
140214221415	17	31	47	63	87
140214221420	24	30	55	61	82
140214221425	18	31	50	74	90
140214221430	18	21	41	74	97
140214221435	22	21	42	73	80
140214221440	17	24	45	76	95
140214221445	19	32	57	71	92
140214221450	23	37	55	66	81
140214221455	18	37	42	79	95
140214221500	22	29	57	74	96
140214221505	18	26	41	62	92
140214221510	21	25	51	62	80
140214221515	19	23	50	70	85
140214221520	20	32	40	76	96
140214221525	21	30	45	79	88
140214221530	23	37	43	78	80
140214221535	23	35	50	61	82
140214221540	18	37	50	75	85
140214221545	22	30	43	62	88
140214221550	16	29	46	67	97
140214221555	24	28	50	69	91
140214221600	22	33	50	68	98
140214221605	16	32	59	76	90
140214221610	21	37	59	77	87
140214221615	23	35	41	77	92
140214221620	20	36	55	64	98
140214221625	23	28	54	68	86
140214221630	17	35	57	78	93
140214221635	22	25	40	65	94
140214221640	16	22	47	72	83
140214221645	16	34	59	74	93
140214221650	16	34	57	65	99
140214221655	17	36	41	72	82
140214221700	22	39	42	62	90
140214221705	16	26	55	73	94
140214221710	17	31	43	70	84
140214221715	16	28	59	77	97
140214221720	16	30	56	67	80
140214221725	24	31	45	72	90
140214221730	17	31	43	61	97
140214221735	19	27	58	66	80
140214221740	20	24	54	72	89
140214221745	24	38	52	61	99
140214221750	15	24	56	70	96
140214221755	21	34	45	74	89
140214221800	20	29	59	63	86
140214221805	24	30	53	61	92
140214221810	20	24	53	71	89
140214221815	18	33	57	75	88
140214221820	18	35	55	69	98
140214221825	18	33	40	76	88
140214221830	15	37	58	71	86
140214221835	18	30	41	61	85
140214221840	19	35	54	60	90
140214221845	24	39	59	64	82
140214221850	21	31	58	69	84
140214221855	19	23	53	79	83
140214221900	16	26	55	61	96
140214221905	17	29	52	72	87
140214221910	22	34	42	71	88
140214221915	22	37	43	76	98
140214221920	20	22	57	73	92
140214221925	16	38	56	77	93
140214221930	18	20	54	66	93
140214221935	24	30	45	68	85
140214221940	19	22	40	78	99
140214221945	15	22	41	60	99
140214221950	15	29	43	66	80
140214221955	18	37	58	63	88
140214222000	15	25	40	70	91
140214222005	16	30	58	71	93
140214222010	18	20	51	69	87
